case_id,title,status,duration_ms,target_version,rule_id,expected,actual,error
GIP-DDL-CT-001,GIP-DDL-CT-001,PASS,4,8.0.39,GIP-DDL-CT-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-001']",
GIP-COR-ST-001,GIP-COR-ST-001,PASS,2,8.0.39,GIP-COR-ST-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-COR-ST-001']",
GIP-COR-PS-001,GIP-COR-PS-001,MANUAL,0,8.0.39,GIP-COR-PS-001,manual verification,Requires a stable parser-warning corpus; no known deterministic warning SQL is currently exposed,
GIP-COR-PS-002,GIP-COR-PS-002,PASS,2,8.0.39,GIP-COR-PS-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-COR-PS-002']",
GIP-COR-SF-001,GIP-COR-SF-001,MANUAL,0,8.0.39,GIP-COR-SF-001,manual verification,Requires service restart with audit_only=true,
GIP-META-CN-001,GIP-META-CN-001,MANUAL,0,8.0.39,GIP-META-CN-001,manual verification,Requires invalid credentials/network or permission fault injection,
GIP-META-CN-002,GIP-META-CN-002,MANUAL,0,8.0.39,GIP-META-CN-002,manual verification,Version-specific case is covered by phase/version suite; run separately against 5.7,
GIP-META-DB-001,GIP-META-DB-001,PASS,3,8.0.39,GIP-META-DB-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-META-DB-001']",
GIP-META-DB-002,GIP-META-DB-002,PASS,2,8.0.39,GIP-META-DB-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-META-DB-002']",
GIP-DDL-MD-001,GIP-DDL-MD-001,PASS,3,8.0.39,GIP-DDL-MD-001,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-MD-001']",
GIP-DDL-CT-002,GIP-DDL-CT-002,PASS,3,8.0.39,GIP-DDL-CT-002,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-002']",
GIP-DDL-CT-003,GIP-DDL-CT-003,PASS,4,8.0.39,GIP-DDL-CT-003,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-003']",
GIP-DDL-CT-004,GIP-DDL-CT-004,PASS,3,8.0.39,GIP-DDL-CT-004,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-004']",
GIP-DDL-CT-005,GIP-DDL-CT-005,PASS,3,8.0.39,GIP-DDL-CT-005,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1; observed_rules=['GIP-DDL-CT-005']",
