case_id,title,status,duration_ms,target_version,rule_id,expected,actual,error
P1-001,合法控制块，USE gip_manual; SELECT id FROM users WHERE id=1;,PASS,10,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED', 'CHECKED'], rows=2",
P1-002,删除inception_magic_commit,PASS,1,8.0.39,,protocol error 1064,"protocol_error=1064, message=(1064, 'request must contain inception_magic_start, SQL, and inception_magic_commit')","(1064, 'request must contain inception_magic_start, SQL, and inception_magic_commit')"
P1-003,重复start或commit,PASS,0,8.0.39,,protocol error 1064,"protocol_error=1064, message=(1064, 'duplicate or misplaced inception control marker')","(1064, 'duplicate or misplaced inception control marker')"
P1-004,commit位于start之前,PASS,1,8.0.39,,protocol error 1064,"protocol_error=1064, message=(1064, 'first statement must be inception_magic_start')","(1064, 'first statement must be inception_magic_start')"
P1-005,SQL字符串含'inception_magic_commit',PASS,8,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED'], rows=1",
P1-006,普通SQL注释含控制标记文本,PASS,9,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED'], rows=1",
P1-007,未知directive --not-exists=1,PASS,0,8.0.39,,protocol error 1064,"protocol_error=1064, message=(1064, 'unknown inception directive ""not_exists""')","(1064, 'unknown inception directive ""not_exists""')"
P1-008,重复host、非法port、非法布尔值,PASS,0,8.0.39,,protocol error 1064,"protocol_error=1064, message=(1064, 'invalid target port ""70000""')","(1064, 'invalid target port ""70000""')"
P1-009,"backup=1,execute=0",PASS,0,8.0.39,,protocol error 1064,"protocol_error=1064, message=(1064, 'backup requires execute=1')","(1064, 'backup requires execute=1')"
P1-010,多语句含分号、引号、反斜杠及UTF-8注释,PASS,9,8.0.39,,"level=0, stage=CHECKED","max_level=0, stages=['CHECKED', 'CHECKED'], rows=2",
P1-011,语法错误UPDTE users SET age=1;,PASS,4,8.0.39,,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P1-012,未准入语句，例如Prepared Statement语法,PASS,2,8.0.39,,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED'], rows=1",
P1-013,超过配置的请求大小、SQL条数、单SQL长度,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P1-014,同一请求含USE gip_manual; USE missing_db;,PASS,11,8.0.39,,"level=2, stage=CHECKED","max_level=2, stages=['CHECKED', 'CHECKED', 'CHECKED'], rows=3",
P2-001,正确目标连接；审核SELECT VERSION()以外的业务SQL,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
P2-002,错host、port、密码及无权限账号,MANUAL,0,8.0.39,,manual verification,"Requires controlled fault injection, a second connection/process, Archery UI/API, observability endpoint, Docker, or capacity measurements; follow PHASE_1_7_CASES.md",
